Customer_ID, Name             , Gender, Age, Phone     , Email                         , UPI_ID                         , Bank                , IFSC       , Account_Number, Aadhaar_Number, City     , Balance_INR
         40, Aarav Mukherjee  , Male  ,  26, 9733155072, aaravmukherjee9125@gmail.com  , aaravmukherjee5041@okicici     , Kotak Mahindra      , PHLY6758825,    15450713733,   573491000000, Mumbai   ,      260040
         41, Krishna Banerjee , Male  ,  59, 9090044046, krishnabanerjee6832@gmail.com , krishnabanerjee4370@okyesbank  , ICICI               , GOOY4878933,   679140000000,   861577000000, Delhi    ,      199195
         42, Riya Trivedi     , Female,  22, 9483870360, riyatrivedi8454@gmail.com     , riyatrivedi7036@okhdfcbank     , Kotak Mahindra      , LRQB9283536,   121372000000,   250211000000, Delhi    ,       88801
         43, Krishna Reddy    , Female,  60, 9717370486, krishnareddy6778@gmail.com    , krishnareddy4449@okicici       , Axis Bank           , DKAT7173016,   600712000000,   261020000000, Chennai  ,      424750
         44, Aditya Sharma    , Female,  39, 9239653219, adityasharma1905@gmail.com    , adityasharma6780@oksbi         , ICICI               , SMME1538268,   162825000000,   726006000000, Hyderabad,      407525
         45, Arjun Iyer       , Female,  49, 9826070103, arjuniyer5733@gmail.com       , arjuniyer5027@okhdfcbank       , Kotak Mahindra      , ZQKW1149781,    60708360162,   756110000000, Bengaluru,      394246
         46, Sai Mehta        , Male  ,  64, 9100151174, saimehta3107@gmail.com        , saimehta2814@okyesbank         , HDFC                , OXHJ2990667,   118167000000,   768188000000, Pune     ,       57979
         47, Sai Mehta        , Male  ,  19, 9771687873, saimehta8842@gmail.com        , saimehta7691@okkotak           , SBI                 , XAMA9055624,   231222000000,   607049000000, Pune     ,      358842
         48, Krishna Mukherjee, Male  ,  38, 9968836529, krishnamukherjee8468@gmail.com, krishnamukherjee9701@oksbi     , HDFC                , SWRR8256420,   192944000000,   567192000000, Chennai  ,      244700
         49, Vivaan Sharma    , Female,  45, 9571273319, vivaansharma6666@gmail.com    , vivaansharma3760@oksbi         , HDFC                , TYWT6345725,   895934000000,   418404000000, Pune     ,      478403
         50, Myra Shetty      , Other ,  69, 9063576653, myrashetty2910@gmail.com      , myrashetty5417@okyesbank       , ICICI               , KVBJ1024410,   803394000000,   756787000000, Pune     ,      249157
         51, Aditya Mukherjee , Female,  41, 9384883118, adityamukherjee1738@gmail.com , adityamukherjee3464@oksbi      , ICICI               , OOZB7355958,   961219000000,   778175000000, Pune     ,      156452
         52, Krishna Reddy    , Female,  41, 9824411901, krishnareddy6337@gmail.com    , krishnareddy350@okkotak        , Axis Bank           , CIJF1812859,   427868000000,   665840000000, Hyderabad,      367646
         53, Aarav Reddy      , Other ,  31, 9600813236, aaravreddy9187@gmail.com      , aaravreddy8413@okyesbank       , Kotak Mahindra      , MMGZ2253425,   389827000000,   798456000000, Hyderabad,      131841
         54, Arjun Jain       , Other ,  54, 9911856443, arjunjain108@gmail.com        , arjunjain5370@okhdfcbank       , Kotak Mahindra      , GESK5907529,   494633000000,    81404082915, Delhi    ,      496934
         55, Aadhya Reddy     , Female,  44, 9769115067, aadhyareddy5469@gmail.com     , aadhyareddy4724@okicici        , SBI                 , VZOG1554615,   191578000000,   361466000000, Pune     ,      391759
         56, Aarav Shetty     , Other ,  41, 9972602584, aaravshetty8076@gmail.com     , aaravshetty8598@okicici        , HDFC                , XVLD5410817,   175605000000,    87277358440, Kolkata  ,      400272
         57, Aadhya Kapoor    , Other ,  23, 9488549177, aadhyakapoor9826@gmail.com    , aadhyakapoor2710@okyesbank     , SBI                 , NKSK3350440,   640428000000,   522870000000, Bengaluru,      106745
         58, Ishaan Jain      , Other ,  43, 9672210226, ishaanjain1825@gmail.com      , ishaanjain7511@okhdfcbank      , SBI                 , CRZH2849007,   326988000000,   684025000000, Delhi    ,      417216
         59, Kiara Iyer       , Female,  71, 9980702370, kiaraiyer9039@gmail.com       , kiaraiyer1273@okaxis           , Punjab National Bank, ZNXM8489694,    82376512410,   167554000000, Delhi    ,       50311
         60, Jiya Chauhan     , Female,  32, 9145429601, jiyachauhan8779@gmail.com     , jiyachauhan1681@okkotak        , SBI                 , DEFS4462376,   868955000000,   775130000000, Hyderabad,      134592
         61, Sai Trivedi      , Other ,  46, 9837860457, saitrivedi1405@gmail.com      , saitrivedi4125@okyesbank       , SBI                 , MZJB2544879,   138133000000,   949960000000, Pune     ,      498965
         62, Sara Gowda       , Male  ,  53, 9978835205, saragowda748@gmail.com        , saragowda3488@okaxis           , ICICI               , TFFL9100430,   594943000000,   472179000000, Chennai  ,       83777
         63, Arjun Kapoor     , Other ,  27, 9085020156, arjunkapoor635@gmail.com      , arjunkapoor7714@okicici        , SBI                 , CJXT4412107,   403521000000,   335558000000, Kolkata  ,      274211
         64, Jiya Jain        , Other ,  45, 9094535463, jiyajain7931@gmail.com        , jiyajain6792@oksbi             , Punjab National Bank, FZBI7669159,   318153000000,   900712000000, Chennai  ,      223903
         65, Ananya Gowda     , Female,  68, 9015914363, ananyagowda2030@gmail.com     , ananyagowda418@okkotak         , HDFC                , TTHX6915886,    84235293762,   469342000000, Pune     ,      280835
         66, Jiya Kapoor      , Male  ,  26, 9676104607, jiyakapoor3736@gmail.com      , jiyakapoor1427@okaxis          , SBI                 , LRXH8825210,   262374000000,   151111000000, Mumbai   ,      371763
         67, Riya Patel       , Other ,  38, 9262371598, riyapatel8433@gmail.com       , riyapatel6594@oksbi            , Axis Bank           , OOTR4579583,   106437000000,   237773000000, Kolkata  ,       14288
         68, Shaurya Nair     , Male  ,  27, 9984258534, shauryanair1067@gmail.com     , shauryanair9330@okkotak        , Axis Bank           , DPON3969933,   871122000000,   306235000000, Chennai  ,      475934
         69, Reyansh Mukherjee, Female,  21, 9692807498, reyanshmukherjee7343@gmail.com, reyanshmukherjee4956@oksbi     , SBI                 , DGJJ6765187,   433184000000,   569559000000, Chennai  ,      236297
         70, Diya Rathod      , Male  ,  71, 9109698433, diyarathod4485@gmail.com      , diyarathod130@oksbi            , HDFC                , VXKP4330696,   195070000000,   714342000000, Hyderabad,      418353
         71, Ananya Kapoor    , Female,  21, 9700719514, ananyakapoor329@gmail.com     , ananyakapoor8362@oksbi         , Canara Bank         , MUPJ4245038,   442768000000,   202414000000, Chennai  ,      380529
         72, Aarav Sharma     , Other ,  23, 9268167976, aaravsharma1246@gmail.com     , aaravsharma386@okkotak         , Axis Bank           , ZBMG7364094,   389678000000,   990844000000, Bengaluru,      298031
         73, Sara Nair        , Female,  43, 9339898466, saranair77@gmail.com          , saranair2752@okyesbank         , Canara Bank         , JHTC7115422,   528794000000,    84939462767, Hyderabad,      142759
         74, Ishaan Reddy     , Male  ,  57, 9867631268, ishaanreddy5662@gmail.com     , ishaanreddy7343@okicici        , Axis Bank           , UJIW5329673,    65160262004,   204806000000, Delhi    ,       48523
         75, Sai Khanna       , Male  ,  33, 9163646516, saikhanna1320@gmail.com       , saikhanna6967@okicici          , Kotak Mahindra      , RGCB4820060,   390930000000,    74401344453, Delhi    ,       84497
         76, Krishna Mehta    , Male  ,  25, 9480017860, krishnamehta7293@gmail.com    , krishnamehta8984@okicici       , ICICI               , UOWS8156014,   268656000000,   527476000000, Mumbai   ,      424396
         77, Arjun Sharma     , Other ,  45, 9676469181, arjunsharma3795@gmail.com     , arjunsharma7230@okhdfcbank     , Axis Bank           , YSLY9667101,   545445000000,   262469000000, Mumbai   ,       67073
         78, Riya Iyer        , Male  ,  33, 9147585407, riyaiyer5723@gmail.com        , riyaiyer8750@okhdfcbank        , Kotak Mahindra      , BTBU8291374,   211356000000,   475665000000, Pune     ,      219230
         79, Diya Jain        , Male  ,  55, 9216101510, diyajain8317@gmail.com        , diyajain4970@okaxis            , Axis Bank           , ABPM6600348,   867323000000,   344216000000, Chennai  ,      497752
         80, Ishaan Rathod    , Male  ,  66, 9037535583, ishaanrathod8066@gmail.com    , ishaanrathod6001@okkotak       , SBI                 , KKVN6117421,   970416000000,   440479000000, Chennai  ,      320227
         81, Anika Trivedi    , Female,  18, 9590660748, anikatrivedi5787@gmail.com    , anikatrivedi3820@okkotak       , SBI                 , CXRW7996577,   155000000000,   568276000000, Mumbai   ,      421129
         82, Sara Mukherjee   , Male  ,  36, 9720211317, saramukherjee9348@gmail.com   , saramukherjee8260@okkotak      , HDFC                , XXXG2359348,   533363000000,   603675000000, Mumbai   ,      295203
         83, Sai Patel        , Female,  67, 9405602863, saipatel6979@gmail.com        , saipatel3578@okicici           , HDFC                , RDCF0863885,   674041000000,   709296000000, Kolkata  ,      330085
         84, Aditya Trivedi   , Male  ,  34, 9552147242, adityatrivedi7627@gmail.com   , adityatrivedi5836@okhdfcbank   , Axis Bank           , DVXG1116458,   140509000000,    76264959868, Kolkata  ,      283615
         85, Arjun Trivedi    , Female,  66, 9655015741, arjuntrivedi7546@gmail.com    , arjuntrivedi6878@oksbi         , HDFC                , FYMY6228014,   119650000000,   809004000000, Delhi    ,       16794
         86, Anika Trivedi    , Female,  45, 9485495869, anikatrivedi4465@gmail.com    , anikatrivedi2976@okkotak       , HDFC                , UNQS8508846,   404336000000,   780229000000, Hyderabad,      438369
         87, Vivaan Patel     , Other ,  61, 9299434753, vivaanpatel3460@gmail.com     , vivaanpatel5011@okyesbank      , Canara Bank         , BIYI0041442,    67357830783,   357396000000, Ahmedabad,      467590
         88, Arjun Sharma     , Other ,  29, 9467415826, arjunsharma6453@gmail.com     , arjunsharma7232@okaxis         , Punjab National Bank, AOVA3014930,   692385000000,   457382000000, Mumbai   ,      337325
         89, Aarav Chauhan    , Female,  23, 9752025305, aaravchauhan6346@gmail.com    , aaravchauhan4188@okhdfcbank    , Canara Bank         , TPCL8160343,   450355000000,   489619000000, Hyderabad,      357217
         90, Vivaan Mukherjee , Female,  24, 9072202697, vivaanmukherjee9864@gmail.com , vivaanmukherjee4671@okhdfcbank , ICICI               , SENY5677942,   394421000000,   906548000000, Delhi    ,      159264
         91, Reyansh Gowda    , Other ,  25, 9724087919, reyanshgowda9451@gmail.com    , reyanshgowda9813@okyesbank     , Kotak Mahindra      , IXEJ6219164,   732156000000,    95228102893, Mumbai   ,      400971
         92, Ananya Trivedi   , Female,  20, 9038729589, ananyatrivedi5124@gmail.com   , ananyatrivedi5805@oksbi        , ICICI               , EWHU5696816,   204060000000,   622628000000, Delhi    ,      151614
         93, Reyansh Shetty   , Other ,  66, 9794882739, reyanshshetty3581@gmail.com   , reyanshshetty7827@okyesbank    , Punjab National Bank, CRZG5842658,   231869000000,   873436000000, Chennai  ,      120347
         94, Sara Patel       , Other ,  38, 9697640742, sarapatel8787@gmail.com       , sarapatel600@okaxis            , Kotak Mahindra      , NSNT4743901,   565485000000,   586522000000, Bengaluru,      453882
         95, Reyansh Banerjee , Male  ,  25, 9128190114, reyanshbanerjee578@gmail.com  , reyanshbanerjee8300@okicici    , Kotak Mahindra      , UDHS1159483,   318889000000,   280625000000, Bengaluru,      475996
         96, Myra Agarwal     , Male  ,  45, 9097154190, myraagarwal5334@gmail.com     , myraagarwal6709@oksbi          , Punjab National Bank, FYRD1403484,   197398000000,   690350000000, Kolkata  ,      255166
         97, Aarav Mehta      , Other ,  47, 9552782874, aaravmehta6007@gmail.com      , aaravmehta4494@okaxis          , HDFC                , FHCJ3464485,   833328000000,   567146000000, Hyderabad,      495784
         98, Reyansh Agarwal  , Other ,  49, 9504996098, reyanshagarwal9873@gmail.com  , reyanshagarwal4090@okyesbank   , Kotak Mahindra      , TFZC5820827,   190693000000,   913034000000, Ahmedabad,      187676
         99, Aditya Rathod    , Female,  28, 9633965285, adityarathod6811@gmail.com    , adityarathod1764@okyesbank     , Axis Bank           , YBUT4332172,   572935000000,   468987000000, Kolkata  ,      428554
        100, Vihaan Chauhan   , Other ,  37, 9191049523, vihaanchauhan6649@gmail.com   , vihaanchauhan9617@okicici      , Canara Bank         , JRXH4197348,   183233000000,   379972000000, Bengaluru,      185980
        101, Aditya Chauhan   , Other ,  67, 9438246658, adityachauhan2842@gmail.com   , adityachauhan2570@okyesbank    , Punjab National Bank, VODZ7058757,   271142000000,   186079000000, Delhi    ,      475889
        102, Sara Kapoor      , Male  ,  33, 9639850865, sarakapoor9520@gmail.com      , sarakapoor7603@oksbi           , Kotak Mahindra      , PRFR7715848,   184527000000,   772290000000, Mumbai   ,       35154
        103, Sara Mehta       , Other ,  42, 9533277148, saramehta7763@gmail.com       , saramehta9947@okyesbank        , HDFC                , DWMD7481807,    48189827902,   336007000000, Mumbai   ,      489417
        104, Aarav Singh      , Female,  62, 9863396224, aaravsingh1929@gmail.com      , aaravsingh9914@okaxis          , SBI                 , UWVZ1990694,   769180000000,   383183000000, Pune     ,      459653
        105, Sai Yadav        , Other ,  26, 9570674913, saiyadav8324@gmail.com        , saiyadav6371@oksbi             , ICICI               , HDWY1797527,   961782000000,   174637000000, Hyderabad,      499843
        106, Krishna Sharma   , Male  ,  68, 9581394771, krishnasharma1685@gmail.com   , krishnasharma6893@okicici      , Canara Bank         , LRMS1267809,   752147000000,    75312059864, Kolkata  ,      172338
        107, Ananya Yadav     , Male  ,  56, 9554791168, ananyayadav4927@gmail.com     , ananyayadav8218@okicici        , Punjab National Bank, JBNL4606002,   386562000000,   945890000000, Ahmedabad,      204287
        108, Shaurya Reddy    , Male  ,  66, 9262520520, shauryareddy6478@gmail.com    , shauryareddy8904@okkotak       , Kotak Mahindra      , XQFY9842246,   642344000000,   333534000000, Delhi    ,      476814
        109, Sai Agarwal      , Male  ,  57, 9477727372, saiagarwal8989@gmail.com      , saiagarwal4932@okaxis          , Kotak Mahindra      , METQ5265478,   796061000000,     5944570235, Hyderabad,       89918
        110, Myra Rathod      , Other ,  57, 9207785107, myrarathod819@gmail.com       , myrarathod4324@okicici         , Punjab National Bank, JVVX3721783,    98519467768,   381968000000, Mumbai   ,       15522
        111, Anika Patel      , Female,  20, 9936930798, anikapatel3945@gmail.com      , anikapatel9630@okicici         , Punjab National Bank, MESL3522706,   101793000000,   778440000000, Mumbai   ,      458604
        112, Aarav Agarwal    , Female,  33, 9988383192, aaravagarwal5422@gmail.com    , aaravagarwal5715@okaxis        , Kotak Mahindra      , KDTI4407514,   116187000000,   738737000000, Pune     ,      197251
        113, Diya Shetty      , Female,  29, 9105366908, diyashetty7588@gmail.com      , diyashetty2249@okkotak         , ICICI               , UOZU4224946,   368298000000,   847233000000, Pune     ,      132270
        114, Arjun Mehta      , Other ,  32, 9790740364, arjunmehta5400@gmail.com      , arjunmehta5894@okkotak         , Punjab National Bank, JLCJ0440369,   544764000000,   268430000000, Chennai  ,      298867
        115, Ishaan Reddy     , Other ,  70, 9231715660, ishaanreddy197@gmail.com      , ishaanreddy1439@okhdfcbank     , HDFC                , VTNP0488505,   148733000000,   175238000000, Delhi    ,      142616
        116, Riya Agarwal     , Other ,  21, 9786737207, riyaagarwal138@gmail.com      , riyaagarwal2107@okkotak        , ICICI               , XLEX7292016,   954228000000,    61570721365, Hyderabad,      291952
        117, Myra Reddy       , Female,  40, 9582788692, myrareddy3611@gmail.com       , myrareddy5714@okkotak          , ICICI               , WMJP6970817,    77002420285,   917561000000, Hyderabad,      385711
        118, Sara Sharma      , Other ,  44, 9210140939, sarasharma8546@gmail.com      , sarasharma9737@oksbi           , Axis Bank           , VXHU6098367,    66997483785,   512023000000, Pune     ,      218706
        119, Sara Banerjee    , Other ,  56, 9909749328, sarabanerjee6090@gmail.com    , sarabanerjee8019@oksbi         , Punjab National Bank, RUIN1281194,   760237000000,   270487000000, Mumbai   ,       16526
        120, Anika Singh      , Male  ,  60, 9507918623, anikasingh6377@gmail.com      , anikasingh867@oksbi            , HDFC                , LNHF0290430,   648959000000,   238112000000, Ahmedabad,      476921
        121, Vihaan Khanna    , Male  ,  73, 9258980950, vihaankhanna4329@gmail.com    , vihaankhanna494@okaxis         , Canara Bank         , AYLW1064848,   160354000000,    68321462056, Hyderabad,      134873
        122, Krishna Rathod   , Female,  54, 9363894803, krishnarathod6578@gmail.com   , krishnarathod8455@okkotak      , Punjab National Bank, NICR4928494,   135858000000,   360311000000, Ahmedabad,      319203
        123, Aditya Agarwal   , Male  ,  30, 9618233714, adityaagarwal1523@gmail.com   , adityaagarwal5858@okhdfcbank   , HDFC                , PFDA2329763,   176449000000,   885443000000, Delhi    ,      414686
        124, Aditya Yadav     , Male  ,  60, 9158803309, adityayadav3475@gmail.com     , adityayadav8960@okaxis         , SBI                 , CPUW4702908,   815593000000,   341578000000, Bengaluru,      444889
        125, Aadhya Yadav     , Male  ,  54, 9159282282, aadhyayadav8056@gmail.com     , aadhyayadav7521@okicici        , Punjab National Bank, PBEN2624118,    60146209422,   306992000000, Delhi    ,      422820
        126, Vivaan Reddy     , Other ,  57, 9550688810, vivaanreddy9840@gmail.com     , vivaanreddy4353@okkotak        , ICICI               , CGIL3127906,    93054592241,   500586000000, Hyderabad,       63400
        127, Myra Mehta       , Male  ,  38, 9553746808, myramehta1320@gmail.com       , myramehta5082@oksbi            , Axis Bank           , NHAI0392625,   227143000000,   305137000000, Bengaluru,      318131
        128, Vihaan Sharma    , Male  ,  46, 9363335418, vihaansharma1950@gmail.com    , vihaansharma9291@okhdfcbank    , Punjab National Bank, GZHX9117842,   352146000000,   615084000000, Ahmedabad,      481108
        129, Vihaan Sharma    , Male  ,  46, 9595806230, vihaansharma8688@gmail.com    , vihaansharma8735@okicici       , ICICI               , KWST5998986,    24043752236,   527276000000, Delhi    ,      283890
        130, Aadhya Agarwal   , Other ,  66, 9265083636, aadhyaagarwal5729@gmail.com   , aadhyaagarwal3266@okicici      , ICICI               , LYQO8189680,   273039000000,   382582000000, Delhi    ,      150374
        131, Sara Singh       , Female,  28, 9403255011, sarasingh8838@gmail.com       , sarasingh3598@okkotak          , Axis Bank           , ELMC5656549,   943494000000,   900607000000, Delhi    ,      277056
        132, Sai Reddy        , Other ,  68, 9938170724, saireddy2858@gmail.com        , saireddy7066@okhdfcbank        , SBI                 , QFSR2040446,    13354279734,   353185000000, Pune     ,      321138
        133, Anika Sharma     , Other ,  67, 9005273598, anikasharma8291@gmail.com     , anikasharma4573@okaxis         , Kotak Mahindra      , NIUA8615660,    32073682743,   792035000000, Kolkata  ,       97765
        134, Myra Mukherjee   , Male  ,  45, 9739764669, myramukherjee7943@gmail.com   , myramukherjee1685@okaxis       , SBI                 , NOOJ3594957,   504326000000,   610620000000, Mumbai   ,      118951
        135, Riya Pillai      , Female,  27, 9162778392, riyapillai1947@gmail.com      , riyapillai386@okkotak          , ICICI               , ZSRL5698798,   748465000000,   503611000000, Mumbai   ,      436639
        136, Reyansh Khanna   , Male  ,  22, 9881524132, reyanshkhanna5687@gmail.com   , reyanshkhanna294@okicici       , Kotak Mahindra      , VDYO0117408,   161979000000,   151629000000, Chennai  ,       46718
        137, Jiya Chauhan     , Male  ,  73, 9152354331, jiyachauhan7316@gmail.com     , jiyachauhan4884@okicici        , SBI                 , GOYS1505531,   971719000000,   361826000000, Chennai  ,      214167
        138, Krishna Patel    , Female,  74, 9937499759, krishnapatel7815@gmail.com    , krishnapatel404@okyesbank      , Punjab National Bank, CPED4623411,   383918000000,   528384000000, Kolkata  ,      169060
        139, Aarav Jain       , Female,  42, 9439894956, aaravjain2921@gmail.com       , aaravjain1627@okyesbank        , HDFC                , ZLGL3347725,   804554000000,   220257000000, Ahmedabad,      154569
        140, Aarav Shetty     , Other ,  50, 9087424486, aaravshetty5123@gmail.com     , aaravshetty9346@oksbi          , Kotak Mahindra      , RKFO5481108,   184223000000,      891829638, Chennai  ,      409960
        141, Myra Chauhan     , Female,  34, 9148172318, myrachauhan8556@gmail.com     , myrachauhan7768@okicici        , SBI                 , AIQU3274658,   401817000000,   553374000000, Mumbai   ,      356340
        142, Vihaan Reddy     , Other ,  66, 9587845640, vihaanreddy9863@gmail.com     , vihaanreddy5025@okaxis         , Kotak Mahindra      , MFNN7951866,   474540000000,   536029000000, Kolkata  ,      498125
        143, Anika Trivedi    , Other ,  50, 9816770968, anikatrivedi1473@gmail.com    , anikatrivedi7686@okhdfcbank    , HDFC                , ZYEV2657818,   629296000000,   598052000000, Kolkata  ,       71852
